IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
ITS_CS,Trade in commercial services,ITS_CS_QAM,Commercial services imports by main sector  preliminary annual estimates based on quarterly statistics (2005-2025),158,Chinese Taipei,000,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2008,,,,34870.0
ITS_CS,Trade in commercial services,ITS_CS_QAM,Commercial services imports by main sector  preliminary annual estimates based on quarterly statistics (2005-2025),156,China,000,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2009,,,,158920.0
ITS_CS,Trade in commercial services,ITS_CS_QAM,Commercial services imports by main sector  preliminary annual estimates based on quarterly statistics (2005-2025),124,Canada,000,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2009,,,,84627.0
ITS_CS,Trade in commercial services,ITS_CS_QAM,Commercial services imports by main sector  preliminary annual estimates based on quarterly statistics (2005-2025),158,Chinese Taipei,000,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2009,,,,29604.0
ITS_CS,Trade in commercial services,ITS_CS_QAM,Commercial services imports by main sector  preliminary annual estimates based on quarterly statistics (2005-2025),124,Canada,000,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2008,,,,91293.0
ITS_CS,Trade in commercial services,ITS_CS_QAM,Commercial services imports by main sector  preliminary annual estimates based on quarterly statistics (2005-2025),156,China,000,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2008,,,,158949.0
ITS_CS,Trade in commercial services,ITS_CS_QAM,Commercial services imports by main sector  preliminary annual estimates based on quarterly statistics (2005-2025),156,China,000,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2018,,,,525040.0
ITS_CS,Trade in commercial services,ITS_CS_QAM,Commercial services imports by main sector  preliminary annual estimates based on quarterly statistics (2005-2025),124,Canada,000,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2018,,,,122228.0
ITS_CS,Trade in commercial services,ITS_CS_QAM,Commercial services imports by main sector  preliminary annual estimates based on quarterly statistics (2005-2025),158,Chinese Taipei,000,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2018,,,,56865.0
ITS_CS,Trade in commercial services,ITS_CS_QAM,Commercial services imports by main sector  preliminary annual estimates based on quarterly statistics (2005-2025),124,Canada,000,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2011,,,,109400.0
ITS_CS,Trade in commercial services,ITS_CS_QAM,Commercial services imports by main sector  preliminary annual estimates based on quarterly statistics (2005-2025),156,China,000,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2011,,,,247844.0
ITS_CS,Trade in commercial services,ITS_CS_QAM,Commercial services imports by main sector  preliminary annual estimates based on quarterly statistics (2005-2025),156,China,000,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2013,,,,330608.0
ITS_CS,Trade in commercial services,ITS_CS_QAM,Commercial services imports by main sector  preliminary annual estimates based on quarterly statistics (2005-2025),124,Canada,000,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2013,,,,115623.0
ITS_CS,Trade in commercial services,ITS_CS_QAM,Commercial services imports by main sector  preliminary annual estimates based on quarterly statistics (2005-2025),156,China,000,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2019,,,,501429.0
ITS_CS,Trade in commercial services,ITS_CS_QAM,Commercial services imports by main sector  preliminary annual estimates based on quarterly statistics (2005-2025),124,Canada,000,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2019,,,,126628.0
ITS_CS,Trade in commercial services,ITS_CS_QAM,Commercial services imports by main sector  preliminary annual estimates based on quarterly statistics (2005-2025),158,Chinese Taipei,000,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2019,,,,56937.0
ITS_CS,Trade in commercial services,ITS_CS_QAM,Commercial services imports by main sector  preliminary annual estimates based on quarterly statistics (2005-2025),158,Chinese Taipei,000,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2013,,,,51658.0
ITS_CS,Trade in commercial services,ITS_CS_QAM,Commercial services imports by main sector  preliminary annual estimates based on quarterly statistics (2005-2025),156,China,000,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2020,,,,381088.0
ITS_CS,Trade in commercial services,ITS_CS_QAM,Commercial services imports by main sector  preliminary annual estimates based on quarterly statistics (2005-2025),124,Canada,000,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2020,,,,104752.0
ITS_CS,Trade in commercial services,ITS_CS_QAM,Commercial services imports by main sector  preliminary annual estimates based on quarterly statistics (2005-2025),158,Chinese Taipei,000,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2020,,,,37491.0
ITS_CS,Trade in commercial services,ITS_CS_QAM,Commercial services imports by main sector  preliminary annual estimates based on quarterly statistics (2005-2025),156,China,000,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2021,,,,426998.0
ITS_CS,Trade in commercial services,ITS_CS_QAM,Commercial services imports by main sector  preliminary annual estimates based on quarterly statistics (2005-2025),158,Chinese Taipei,000,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2021,,,,39549.0
ITS_CS,Trade in commercial services,ITS_CS_QAM,Commercial services imports by main sector  preliminary annual estimates based on quarterly statistics (2005-2025),124,Canada,000,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2021,,,,122083.0
