IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,158,Chinese Taipei,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2017,,,,317249.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,124,Canada,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2017,,,,420665.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,156,China,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2017,,,,2263346.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,158,Chinese Taipei,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2010,,,,274601.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,156,China,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2018,,,,2486695.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,124,Canada,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2018,,,,452313.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,158,Chinese Taipei,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2018,,,,335909.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,156,China,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2010,,,,1577754.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,124,Canada,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2010,,,,387481.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,124,Canada,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2011,,,,451335.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,158,Chinese Taipei,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2008,,,,255629.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,124,Canada,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2009,,,,316094.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,156,China,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2009,,,,1201612.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,156,China,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2008,,,,1430693.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,124,Canada,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2008,,,,456471.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,158,Chinese Taipei,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2009,,,,203675.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,156,China,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2019,,,,2499457.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,124,Canada,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2019,,,,448817.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,158,Chinese Taipei,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2019,,,,330622.0
