Indicator Category,Indicator Code,Indicator,Reporting Economy Code,Reporting Economy ISO3A Code,Reporting Economy,Partner Economy Code,Partner Economy ISO3A Code,Partner Economy,Product/Sector Classification Code,Product/Sector Classification,Product/Sector Code,Product/Sector,Period Code,Period,Frequency Code,Frequency,Unit Code,Unit,Year,Value Flag Code,Value Flag,Text Value,Value
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,124,CAN,Canada,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2006,,,,5.532838991
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,124,CAN,Canada,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2007,,,,5.540840908
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,124,CAN,Canada,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2008,,,,4.686780026
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,124,CAN,Canada,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2009,,,,4.48
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,124,CAN,Canada,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2010,,,,3.74
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,124,CAN,Canada,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2011,,,,4.53
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,124,CAN,Canada,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2012,,,,4.35
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,124,CAN,Canada,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2013,,,,4.2
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,124,CAN,Canada,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2014,,,,4.17
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,124,CAN,Canada,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2015,,,,4.24
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,124,CAN,Canada,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2016,,,,4.08
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,124,CAN,Canada,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2017,,,,3.99
